Name,Address,City,State,Zip Code,Country,Latitude,Longitude,categories
Burger King,3 Clarksburg Rd,Buckhannon,WV,26201,US,38.997749,-80.233242,Fast Food Restaurants
Arby's,302 Yellowstone Ave,Cody,WY,82414,US,44.516059999999996,-109.08971000000001,Fast Food
Burger King,1902 Mountain View Dr,Cody,WY,82414,US,44.514590000000005,-109.05084,Fast Food Restaurant
YUM Brands,5320 Yellowstone Rd,Cheyenne,WY,82009,US,41.16767,-104.828636,Fast Food Restaurants
Arby's,967 W Poplar Ave,Collierville,TN,38017,US,35.045609999999996,-89.6942,Fast Food Restaurants
Arby's,2607 Cy Ave,Casper,WY,82604,US,42.82804,-106.354802,Fast Food Restaurants
Arby's,1860 N Germantown Pkwy,Cordova,TN,38016,US,35.175914,-89.792333,Fast Food Restaurants
SUBWAY,310 W Grand Xing,Mobridge,SD,57601,US,45.53751,-100.43688,Fast Food Restaurants
Arby's,1502 N Clinton St,Defiance,OH,43512,US,41.303027,-84.36127900000001,Fast Food
YUM Brands,1133 N Clinton St,Defiance,OH,43512,US,41.301426,-84.36081800000001,Fast Food Restaurants
YUM Brands,11 W Dayton Yellow Springs Rd,Fairborn,OH,45324,US,39.783394,-84.006478,Fast Food Restaurants
Arby's,1205 6th Ave Se,Aberdeen,SD,57401,US,45.459587,-98.469823,Fast Food
McDonald's,2260 Highway 394,Blountville,TN,37617,US,36.524041,-82.31270699999999,Fast Food Restaurant
McDonald's,214 Carolina Pottery Dr,Blountville,TN,37617,US,36.534114,-82.39005300000001,Fast food restaurants
Arby's,1313 Highway 394,Blountville,TN,37617,US,36.541865,-82.33235,Fast Food Restaurant
Arby's,1313 Highway 394,Blountville,TN,37617,US,36.541865,-82.33235,Fast Food
Burger King,100 Prince Royal Dr,Berea,KY,40403,US,37.568606,-84.31104599999999,Fast Food Restaurants
Dairy Queen,900 W 8th St,East Liverpool,OH,43920,US,40.62539,-80.59109000000001,Ice Cream Shop and Fast Food Restaurant
Burger King,23777 Us Route 23,Circleville,OH,43113,US,39.58426871,-82.95390414,Fast Food Restaurant
Burger King,414 Water St,Chardon,OH,44024,US,41.580901000000004,-81.21016800000001,Fast food restaurants
Burger King,2005 S Main St,Bellefontaine,OH,43311,US,40.331939,-83.761451,Fast Food Restaurant
Burger King,2000 E Edgerton Rd,Broadview Heights,OH,44147,US,41.29553,-81.67674,Fast Food Restaurants
Burger King,10037 Broadview Rd,Broadview Heights,OH,44147,US,41.293022,-81.68467,Fast Food Restaurant
Culver's,1931 E Geneva St,Delavan,WI,53115,US,42.627712,-88.621712,Fast Food Restaurant
Burger King,2680 Market St,Christiansburg,VA,24073,US,37.16537,-80.422283,Fast food restaurants
Arby's,2650 Market St,Christiansburg,VA,24073,US,37.166086,-80.422225,Fast Food Restaurant
Burger King,2680 Market St,Christiansburg,VA,24073,US,37.16537,-80.422283,Fast Food Restaurant
Burger King,1004 S Main St,Farmville,VA,23901,US,37.289041,-78.397491,Fast food restaurants
